title,source,published,link,rank_score,viral_score,relevance_score,breaking_score,engagement_score,category,why,headline,ai_summary,poster_text,hashtags,image_prompt,poster_portrait,poster_square,poster_landscape
Bureau of the Council approves new regulatory framework for the global football transfer system,FIFA Inside – Transfer System,10 Jun 2026,https://www.inside.fifa.com/news/bureau-council-new-regulatory-framework-global-football-transfer-system-2027,96,80,90,90,90,transfer,FIFA adopts new regulatory framework for global football transfer system,FIFA Overhauls Global Transfer System with New Framework,ফিফা একটি মূল্যবান সমঝোতার মাধ্যমে আন্তর্জাতিক ফুটবল ট্রান্সফার সিস্টেমের জন্য একটি নতুন নিয়ন্ত্রক কাঠামো গ্রহণ করেছে। এই নতুন কাঠামোর লক্ষ্য হলো ট্রান্সফার ব্যবসার মধ্যে প্রকাশ্যতা এবং ন্যায়বিচার বাড়ানো। এই মৌলিক অগ্রগতি ফুটবলের ভূমিকাকে পুনর্গঠন করবে।,ফিফা ট্রান্সফার প্রণালীতে নতুন প্রোটোকল গ্রহণ করেছে,transfer fifa football sport regulation newframework landmarkagreement stakeholders,"A large, high-energy BREAKING NEWS banner in deep blue and gold, spanning across the top of the image, with golden confetti and fireworks exploding in the background. In the foreground, a dynamic, action-packed scene of a football player leaping high in the air, about to head a ball, while several other players in the background rush towards the ball. The stadium is filled with cheering crowds, waving flags of various countries, with a mix of red, green, blue, and yellow flags visible. The atmosphere is electric, with strobe lights flashing and a sense of urgency and excitement in the air. The composition is cinematic, with the player in the center and the crowd blurred in the background. The lighting is bright and dramatic, with the sun shining through the stadium's roof, casting a golden glow on the scene., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/Bureau_of_the_Council_approves_new__portrait_1781647184.png,/home/mahir/Desktop/News_Agent-main/posters/Bureau_of_the_Council_approves_new__square_1781647182.png,/home/mahir/Desktop/News_Agent-main/posters/Bureau_of_the_Council_approves_new__landscape_1781647187.png
January 2026 transfer window sees very strong activity in both men’s and women’s football,FIFA Inside – Transfer System,5 Feb 2026,https://inside.fifa.com/media-releases/january-2026-transfer-window-strong-activity-mens-womens-football,96,90,90,80,80,transfer,Record number of moves in the men's transfer window,Record Moves Made in Men's Transfer Window 2026,"জানুয়ারী ২০২৬ এর ট্রান্সফার জানানোর আগে একটি রেকর্ড সংখ্যক মোবাইলস দেখা গেছে পেশাদার পুরুষ ফুটবলে, যার মধ্যে ব্যয়ের একটি উল্লেখযোগ্য হ্রাস দেখা যাচ্ছে। এর বিপরীতে নারী পেশাদার ফুটবলে রেকর্ড খরচ দেখা গেছে।  ফিফা ইনসাইডের ট্রান্সফার সিস্টেম তথ্য দিচ্ছে।",রেকর্ড মোব করা হয়েছে ২০২৬,FIFATransfers TransferWindow2026 FootballTransfers WomenInSports SportsBusiness TransferTrends FootballFinance SoccerTransfers SportsNews,"A high-energy, action-packed scene of a bustling stadium with a large crowd of cheering fans in the background, all wearing deep blue and gold jerseys and waving flags with national flags visible. The atmosphere is electric, with spotlights shining down on the scene and a sense of urgency and excitement palpable. In the foreground, a group of players in deep blue and gold jerseys are shown celebrating a goal, with one player jumping in the air and punching the air in triumph. The camera is positioned at a dynamic angle, capturing the energy and movement of the scene. The lighting is bright and vibrant, with a mix of natural and artificial light sources adding to the overall sense of excitement., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/January_2026_transfer_window_sees_v_portrait_1781647192.png,/home/mahir/Desktop/News_Agent-main/posters/January_2026_transfer_window_sees_v_square_1781647190.png,/home/mahir/Desktop/News_Agent-main/posters/January_2026_transfer_window_sees_v_landscape_1781647193.png
Global transfer market hits new all-time highs in 2025 mid-year window,FIFA Inside – Transfer System,3 Sept 2025,https://www.inside.fifa.com/media-releases/global-transfer-market-new-all-time-highs-2025-mid-year-window,96,90,90,80,80,transfer,Global transfer market hits new all-time highs in 2025 mid-year window,Transfer Market Soars: New All-Time Highs in 2025,"২০২৫ এর মধ্যভাগের ট্রান্সফার জানুয়ারি আটকালে ভৌতিক এবং ব্যয়ের ক্রিয়াকলাপের নতুন রেকর্ড ভেঙে গেছে পুরুষ ও মহিলাদের ফুটবলে। বিশ্বব্যাপী ট্রান্সফার মার্কেটের বৃদ্ধি আশাবাদী অপেক্ষা ছাড়িয়ে চলে যাচ্ছে। সংখ্যাগুলো আসেছে, এবং তারা মনকে বিব্রত করছে।",ট্রান্সফার মার্কেট নতুন উচ্চতায় পৌঁছেছে,TransferMarket FIFA Football GlobalFootball FootballTransfers SportsBusiness SportsFinance TransferWindow FootballEconomy SoccerTransfers,"A high-energy, action-packed news poster featuring a vibrant cityscape at dusk with bustling skyscrapers and busy streets. In the foreground, a large, bold, and eye-catching headline taking center stage, with a dynamic motion blur effect to convey the sense of urgency and breaking news. The background is a warm orange-yellow hue with deep blue and gold accents, reflecting the FIFA 2027 branding. A swarm of people from diverse backgrounds, with national flags waving in their hands, can be seen in the crowd, all with a mixture of excitement and surprise on their faces. The atmosphere is electric, with a sense of chaos and unpredictability. The composition is balanced, with the headline and crowd taking up most of the space, and the cityscape providing a sense of depth and context. The lighting is dramatic, with deep shadows and highlights, creating a sense of drama and emphasis on the breaking news. The color palette is bright and vivid, with a focus on the FIFA 2027 deep blue and gold, with accents of warm orange and yellow., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/Global_transfer_market_hits_new_all_portrait_1781647198.png,/home/mahir/Desktop/News_Agent-main/posters/Global_transfer_market_hits_new_all_square_1781647197.png,/home/mahir/Desktop/News_Agent-main/posters/Global_transfer_market_hits_new_all_landscape_1781647200.png
Club agent service fees reach new heights in 2025,FIFA Inside – Transfer System,18 Dec 2025,https://www.inside.fifa.com/news/club-agent-service-fees-reach-new-heights-2025,90,80,80,80,80,transfer,Club agent service fees reach new heights in 2025,Agent Fees Soar: $1.37B Spent in 2025,"মহিলাদের পেশাদার ফুটবলে ক্লাব এজেন্টের সেবার ফির জন্য মোট ব্যয় এই বছরে একটি নতুন উচ্চতায় পৌঁছেছে, যা মোট $1.37 বিলিয়নের সমান। এটি গত বছরের তুলনায় আরও 90% বেড়েছে। এজেন্টের ফি বৃদ্ধি ফুটবলের সমর্থক এবং বিশেষজ্ঞদের মধ্যে বিতর্কের কারণ হয়ে উঠেছে।",এজেন্ট ফি উল্লম্ব চড়ে $1.37B,football transfermarket agentfees fifainside transfersystem clubagentfees profootball mensfootball,"A dramatic, high-energy scene of a crowded newsroom with reporters and editors rushing to meet a deadline, illuminated by bright, pulsing studio lights and a massive screen displaying a graphic with animated numbers ($1.37B) and a graph showing a sharp spike in 2025. The newsroom is filled with the hum of computer keyboards and the murmur of excited voices. A bold, red 'BREAKING NEWS' banner is prominently displayed at the top of the screen, as a gold ticker tape runs across the bottom with the headline 'Agent Fees Soar: $1.37B Spent in 2025'. The atmosphere is one of urgency and excitement, with reporters and editors working together to get the story out quickly. The studio lights are hot and intense, casting dramatic shadows across the newsroom., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/Club_agent_service_fees_reach_new_h_portrait_1781647205.png,/home/mahir/Desktop/News_Agent-main/posters/Club_agent_service_fees_reach_new_h_square_1781647203.png,/home/mahir/Desktop/News_Agent-main/posters/Club_agent_service_fees_reach_new_h_landscape_1781647207.png
Economic impact of FIFA Clearing House surpasses USD 500 million milestone,FIFA Inside – Transfer System,11 Jul 2025,https://inside.fifa.com/news/economic-impact-clearing-house-surpasses-usd-500-million-milestone,88,70,90,80,70,announcement,Economic impact of FIFA Clearing House surpasses USD 500 million milestone,FIFA Clearing House Hits $500M Mark in Just 2.5 Years,ফিফা ক্লিয়ারিং হাউস সমস্ত ক্লাবের মধ্যে $500 মিলিয়নের বেশি অর্থ সংরক্ষণ করেছে এবং প্রশিক্ষণের পুরস্কারে মোট $300 মিলিয়ন অর্থ প্রদান করেছে। এই মাইলফলকটি নভেম্বর ২০২২ সালে শুরু হওয়া সিস্টেমের প্রভাবের প্রমাণ। এই দৃশ্যমান সংখ্যা সিস্টেমের ফুটবল ক্লাবের সুবিধা পাওয়ার কার্যকারিতার প্রমাণ।,৫০০ মিলিয়ন ডলারের লক্ষ্য অর্জিত,football fifaclearinghouse financialimpact fifa transfermarket sportsfinance footballclubs fifainside,"A dramatic, high-energy scene of a packed newsroom with reporters and broadcasters frantically typing away on their computers and speaking into microphones. The atmosphere is electric with a sense of urgency and excitement as the news breaks. The walls are adorned with giant screens displaying real-time stock market and finance data, with the deep blue and gold colors of FIFA 2027 prominently featured. The room is filled with the glow of computer screens and the hum of activity, creating a sense of chaos and energy. Reporters are shown standing in front of a massive, LED-lit ticker displaying the news headline, 'FIFA Clearing House Hits $500M Mark in Just 2.5 Years'. The scene is set at dusk, with the warm glow of sunset lighting the scene and casting a golden glow over the chaos. National flags and team colors are not relevant in this scene, as the focus is on the financial news., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/Economic_impact_of_FIFA_Clearing_Ho_portrait_1781647211.png,/home/mahir/Desktop/News_Agent-main/posters/Economic_impact_of_FIFA_Clearing_Ho_square_1781647210.png,/home/mahir/Desktop/News_Agent-main/posters/Economic_impact_of_FIFA_Clearing_Ho_landscape_1781647213.png
Brilliant Mbappe becomes France's top scorer in win over Senegal,Sky Sports Football,"Tue, 16 Jun 2026 21:45:00 BST",https://www.skysports.com/football/france-vs-senegal/report/549782,87,90,80,90,90,result,Mbappe becomes France's top scorer in win over Senegal,Brilliant Mbappe becomes France's top scorer in win over Senegal,Kylian Mbappe became the highest scorer in France's history as his sensational double powered Les Bleus to a 3-1 win over Senegal in their Group I World Cup opener in New Jersey.,Brilliant Mbappe becomes France's top sc,,"A high-energy, breaking news-style poster for the FIFA 2027 news with a deep blue and gold color scheme, set against a blurred background of a packed stadium with screaming fans, waving national flags of France and Senegal. The central action features Kylian Mbappe in mid-air, scoring a goal with the ball flying through the air, his arms raised in triumph, amidst a flurry of confetti and smoke bombs. The atmosphere is electric, with the crowd's faces contorted in a mix of excitement and awe. The composition focuses on the main action, with Mbappe's figure prominent, while the team's colors and the country's flag are subtly integrated into the scene. The overall mood is one of triumph and celebration, with the deep blue and gold colors of the FIFA 2027 branding shining through., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/Brilliant_Mbappe_becomes_France_s_t_portrait_1781647217.png,/home/mahir/Desktop/News_Agent-main/posters/Brilliant_Mbappe_becomes_France_s_t_square_1781647215.png,/home/mahir/Desktop/News_Agent-main/posters/Brilliant_Mbappe_becomes_France_s_t_landscape_1781647219.png
FIFA International Player Transfer Course 2026 launched,FIFA Inside – Transfer System,4 May 2026,https://www.inside.fifa.com/news/international-player-transfer-course-2026-launch-miami,86,70,80,80,80,transfer,FIFA launches new player transfer course,FIFA Unveils 2026 Player Transfer Course to Global Audience,"ফিফা নির্ধারণ করেছে এবং ঘোষণা করেছে যে ২০২৬ সালের ফিফা আন্তর্জাতিক খেলোয়াড় ট্রান্সফার কোর্সের নতুন সংস্করণ প্রকাশিত হয়েছে। এটি একটি চার-দিনের শিক্ষামূলক উদ্যোগ, যা আন্তর্জাতিক ট্রান্সফার প্রক্রিয়ার সকল দিককে কাছের একটি হাতের দৃষ্টিকোণ প্রদান করে। এই কোর্সটি অংশগ্রহণকারীদের ট্রান্সফার প্রক্রিয়াটির গভীর জ্ঞান সরবরাহ করার জন্য ডিজাইন করা হয়েছে। কোর্সের লক্ষ্য হল আন্তর্জাতিক ফুটবল ট্রান্সফারে ন্যায়বিচার ও নিরপেক্ষতা প্রচার করা।",FIFA খেলোয়াড় ট্রান্সফার কোর্স ২০২৬,FIFAPlayerTransferCourse FIFA2026 InternationalFootballTransfers TransferSystem FIFAInside PlayerTransfer FootballTransfers GlobalFootball,"A dynamic breaking news scene with a cityscape at dusk, deep blue and gold colors prominent in the lighting and reflections. A massive stadium in the background is filled with fans waving flags from various countries. In the foreground, a group of journalists and camera crews rush towards the stadium entrance, their equipment and clothes reflecting the warm glow of the setting sun. The atmosphere is electric, with a sense of urgency and excitement. The image is composed to lead the viewer's eye to the stadium entrance, where a giant screen displays a live feed of the FIFA 2027 player transfer course announcement. The lighting is dramatic, with long shadows and deep blues, evoking a sense of importance and high stakes. The scene is a whirlwind of activity, with people running, shouting, and pointing, capturing the essence of a breaking news moment., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/FIFA_International_Player_Transfer__portrait_1781647224.png,/home/mahir/Desktop/News_Agent-main/posters/FIFA_International_Player_Transfer__square_1781647222.png,/home/mahir/Desktop/News_Agent-main/posters/FIFA_International_Player_Transfer__landscape_1781647225.png
FIFA welcomes input from European stakeholders and continues consultation on transfer reform,FIFA Inside – Transfer System,2 Dec 2025,https://www.inside.fifa.com/news/transfer-reform-european-stakeholders-input-consultation,86,70,85,80,70,announcement,FIFA continues consultation on transfer reform,FIFA Transfers Reform: Stakeholders Share Views,ফিফা আন্তর্জাতিক প্রশিক্ষণ কর্মকান্ডের সাথে সম্পর্কিত একটি নতুন নীতি প্রণয়নের জন্য EU সেক্টরিয়াল সামাজিক আলোচনা কমিটির প্রস্তাবের উপর ফোকাস করেছে। খেলোয়াড় ট্রান্সফার পুনর্গঠনের উপর রেজুলেশন সম্পর্কে পরিবর্তনের জন্য পরিকল্পনা ও নিয়মাবলী পর্যালোচনা চলছে।,ফিফা ট্রান্সফার রিফর্ম আপডেট,FIFATransferReform PlayerTransfer FIFARules FootballStakeholders RegulationsOnStatusAndTransferOfPlayers RSTP,"A dynamic breaking news scene in the style of a major sports publication, set in a bustling city with a cityscape blurred in the background. A large, bold, and eye-catching headline 'FIFA Transfers Reform: Stakeholders Share Views' is prominently displayed in a deep blue and gold color scheme, reflecting FIFA 2027 branding. The atmosphere is high-energy and electric, with people rushing to and fro, phones in hand, as news spreads. A mix of reporters and camera crews are shown in the foreground, with a sense of urgency and excitement. The composition is balanced with a shallow depth of field, emphasizing the main action in the scene. Lighting is dramatic, with a mix of natural and artificial light sources creating a sense of movement and energy. National flags are subtly integrated into the scene, adding a touch of international flavor. Team colors are not prominent, focusing instead on the deep blue and gold of FIFA 2027. The overall mood is one of breaking news, with a sense of importance and gravity., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/FIFA_welcomes_input_from_European_s_portrait_1781647230.png,/home/mahir/Desktop/News_Agent-main/posters/FIFA_welcomes_input_from_European_s_square_1781647228.png,/home/mahir/Desktop/News_Agent-main/posters/FIFA_welcomes_input_from_European_s_landscape_1781647232.png
Argentina reclaim top spot in the FIFA/Coca-Cola Men’s World Ranking,FIFA Inside – Rankings,11 Jun 2026,https://www.inside.fifa.com/news/argentina-reclaim-top-spot-mens-world-ranking-fifa-coca-cola,78,95,14,90,90,ranking,Argentina reclaim top spot in men's FIFA/Coca-Cola World Ranking.,Argentina Reclaims Top Spot in FIFA World Ranking,"আর্জেন্টিনা ফিফা/কোকা-কোলা ম্যানের ফিফা বার্ষিক র‍্যাঙ্কিংয়ে শীর্ষ স্থান পুনরুদ্ধার করেছে, ফিফা বাইশ বছরের প্রারম্ভে কয়েক ঘন্টার মধ্যে। বর্তমান বিশ্ব চ্যাম্পিয়ন শীর্ষ স্থানীয় দল হিসেবে তাদের শিরোপা রক্ষা শুরু করবে।",আর্জেন্টিনা আবার শীর্ষে,FIFAWorldRanking FIFAWorldCup Argentina Soccer Footy Rankings Sports Football,"FIFA World Cup 2027 football match scene, ranking moment, professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/Argentina_reclaim_top_spot_in_the_F_portrait_1781647236.png,/home/mahir/Desktop/News_Agent-main/posters/Argentina_reclaim_top_spot_in_the_F_square_1781647234.png,/home/mahir/Desktop/News_Agent-main/posters/Argentina_reclaim_top_spot_in_the_F_landscape_1781647239.png
AFCON finalists Morocco and Senegal steal limelight in January 2026 FIFA/Coca-Cola Men’s World Ranking,FIFA Inside – Rankings,19 Jan 2026,https://www.inside.fifa.com/news/coca-cola-january-2026-afcon-morocco-top-10-senegal-climb,76,95,14,80,90,ranking,Morocco and Senegal steal limelight in men's FIFA/Coca-Cola World Ranking.,Morocco and Senegal surge in January 2026 FIFA Rankings,মরোক্কো ও সেনেগাল ফিফা/কোকা-কোলা মহিলাদের বিশ্ব র‌্যাঙ্কিংয়ের জানুয়ারী ২০২৬ সংস্করণে গুরুত্বপূর্ণ অগ্রগতি করেছে। আফ্রিকান নেশন্স কাপের ফাইনালিস্টরা টুর্নামেন্টটির তাদের উচ্চাকাঙ্ক্ষী পারফরম্যান্সের উপর ভিত্তি করে তাদের বৈশ্বিক র‌্যাঙ্কিং বৃদ্ধি করেছে।,মরোক্কো ও সেনেগাল আগামী আরো অধিক স্থানে উঠতে হবে,FIFA CocaCola FIFAWorldRanking MoroccoFootball SenegalFootball AFCON AfricaCupOfNations SportsNews GlobalRankings,"A high-energy news poster with a bold and dynamic composition. A group of people in the background are shown cheering and looking at a large screen displaying the FIFA 2027 rankings, with a bright and colorful LED light strip running along the top of the poster. In the foreground, a giant screen displays the headline 'Morocco and Senegal surge in January 2026 FIFA Rankings' in deep blue and gold text, with the FIFA 2027 logo subtly integrated into the design. The scene is set in a packed stadium or sports bar, with people from Morocco and Senegal standing together, proudly holding their national flags and wearing their team colors. The atmosphere is electric, with flashes of camera lights and a sense of excitement and triumph. The lighting is bright and dramatic, with a mix of natural and artificial light sources. The action is fast-paced and dynamic, with people moving quickly and the flags waving in the wind., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/AFCON_finalists_Morocco_and_Senegal_portrait_1781647244.png,/home/mahir/Desktop/News_Agent-main/posters/AFCON_finalists_Morocco_and_Senegal_square_1781647242.png,/home/mahir/Desktop/News_Agent-main/posters/AFCON_finalists_Morocco_and_Senegal_landscape_1781647247.png
