title,source,published,link,rank_score,viral_score,relevance_score,breaking_score,engagement_score,category,why,headline,ai_summary,poster_text,hashtags,image_prompt,poster_portrait,poster_square,poster_landscape
"Four years later, same debate for Portugal: Why is...",ESPN Soccer,"Mon, 22 Jun 2026 08:56:49 EST",https://www.espn.com/soccer/story/_/id/49138526/four-years-later-same-debate-portugal-why-ronaldo-starting-2026-fifa-world-cup,87,90,80,90,95,ranking,Portugal's struggles with Cristiano Ronaldo raise concerns about their World Cup prospects,,"Little has changed since the 2022 World Cup; Cristiano Ronaldo is goalless, and Portugal are struggling. How long can th","Four years later, same debate for Portug",,"ranking sports atmosphere, cinematic stadium lights, abstract energy, dark dramatic",/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Four_years_later__same_debate_for_P_portrait_1782135550.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Four_years_later__same_debate_for_P_square_1782135549.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Four_years_later__same_debate_for_P_landscape_1782135551.png
Bielsa's Uruguay anger Cape Verde over fair play,ESPN Soccer,"Mon, 22 Jun 2026 05:50:49 EST",https://www.espn.com/soccer/story/_/id/49141846/cape-verde-boss-angered-uruguay-marcelo-bielsa-taught-us-fair-play,85,90,80,80,90,controversy,Uruguay's fair play controversy sparks outrage,Fair Play Controversy,কেপ ভার্দের খেলোয়াড়কে সাহায্য না করায়,Fair Play Controversy,Football FairPlay Uruguay CapeVerde Sportsmanship Controversy,"A stylised, abstract representation of a football pitch at dusk, with deep blues and blacks dominating the background, and a hint of golden light in the distance, symbolising the controversy and drama of the fair play incident, with bold brushstrokes and vibrant textures, and a sense of tension and urgency in the air",/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Bielsa_s_Uruguay_anger_Cape_Verde_o_portrait_1782135553.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Bielsa_s_Uruguay_anger_Cape_Verde_o_square_1782135552.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Bielsa_s_Uruguay_anger_Cape_Verde_o_landscape_1782135554.png
USMNT's World Cup success brings dilemma: Rotate t...,ESPN Soccer,"Mon, 22 Jun 2026 08:57:06 EST",https://www.espn.com/soccer/story/_/id/49140112/usmnt-faces-world-cup-dilemma-vs-turkiye-rotate-squad-keep-same-xi,78,80,70,80,90,ranking,USMNT's World Cup success sparks debate over rotation strategy,USMNT Success,গ্রুপ ডি ম্যাচে কি দল পরিবর্তন করবে?,USMNT Success,USMNT WorldCup Soccer Football Sports News ESPN,"A stylized, abstract depiction of a soccer stadium at dusk, with vibrant colors and dynamic lighting, conveying a sense of excitement and energy, with no recognizable team logos or player faces, and a bold, geometric pattern in the foreground, evoking a sense of movement and tension",/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/USMNT_s_World_Cup_success_brings_di_portrait_1782135556.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/USMNT_s_World_Cup_success_brings_di_square_1782135555.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/USMNT_s_World_Cup_success_brings_di_landscape_1782135557.png
Iraq's plan to stop Mbappé? Ask to play 3 keepers,ESPN Soccer,"Mon, 22 Jun 2026 05:50:49 EST",https://www.espn.com/soccer/story/_/id/49137803/iraq-coach-france-kylian-mbappe-3-goalkeepers-graham-arnold,78,80,80,70,80,announcement,Iraq's bold plan to stop Mbappé sparks intrigue,Mbappe Stopped?,ফ্রান্সের বিপক্ষে ইরাকের অসাধারণ কৌশল,Mbappe Stopped?,football mbappe iraq france worldcup sports news,"A stylized illustration of a football field with a bold, abstract representation of a goalkeeper in the background, surrounded by swirling patterns of French and Iraqi flags, with a hint of a dramatic, cinematic atmosphere and a sense of urgency, capturing the essence of the upcoming match between Iraq and France.",/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Iraq_s_plan_to_stop_Mbappé__Ask_to__portrait_1782135559.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Iraq_s_plan_to_stop_Mbappé__Ask_to__square_1782135558.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Iraq_s_plan_to_stop_Mbappé__Ask_to__landscape_1782135561.png
"Clàudia Pons: FIFA Futsal Women's World Cup Philippines 2025™ ""a dream come true”",FIFA Inside – Rankings,22 Nov 2025,https://www.inside.fifa.com/news/claudia-pons-interview-futsal-womens-world-cup-philippines-dream,77,90,30,80,70,announcement,Spain's participation in the inaugural FIFA Futsal Women's World Cup is a major moment.,,Spain among participants at landmark FIFA Futsal Women's World Cup™. Inaugural edition marks turning point for women's f,Clàudia Pons: FIFA Futsal Women's World ,,"announcement sports atmosphere, cinematic stadium lights, abstract energy, dark dramatic",/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Clàudia_Pons__FIFA_Futsal_Women_s_W_portrait_1782135563.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Clàudia_Pons__FIFA_Futsal_Women_s_W_square_1782135562.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Clàudia_Pons__FIFA_Futsal_Women_s_W_landscape_1782135564.png
England vs Portugal? Germany vs Scotland? Every potential knockout stage fixture!,Sky Sports Football,"Mon, 22 Jun 2026 12:45:00 BST",https://www.skysports.com/football/news/11095/13556636/world-cup-2026-bracket-and-knockout-fixtures-whos-facing-who-in-the-last-32-and-route-to-final,75,90,40,90,90,ranking,Potential World Cup knockout stage fixtures,,"As we head towards the final World Cup group games, it's time to start looking ahead to the knockout stages and potentia",England vs Portugal? Germany vs Scotland,,"ranking sports atmosphere, cinematic stadium lights, abstract energy, dark dramatic",/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/England_vs_Portugal__Germany_vs_Sco_portrait_1782135566.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/England_vs_Portugal__Germany_vs_Sco_square_1782135565.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/England_vs_Portugal__Germany_vs_Sco_landscape_1782135567.png
World Cup Daily: Crying Belgium fan saved by VAR; ...,ESPN Soccer,"Mon, 22 Jun 2026 08:30:11 EST",https://www.espn.com/soccer/story/_/id/49141065/world-cup-daily-crying-belgium-fan-saved-var-messi-mbappe-haaland-action,74,80,60,80,85,result,VAR saves a crying Belgium fan during the World Cup,VAR saves fan,বিশ্বকাপে ভিএআরের নাটক,VAR saves fan,WorldCup VAR Belgium FIFA Soccer Football Sports,"A stylized, abstract representation of a soccer stadium at dusk, with a dramatic, cinematic lighting effect. The background is a deep blue, with accents of bright, energetic colors. The atmosphere is tense and dramatic, with a sense of urgency and excitement. No real player faces, club logos, or jersey numbers are visible, only abstract, swirling patterns of color and light.",/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/World_Cup_Daily__Crying_Belgium_fan_portrait_1782135569.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/World_Cup_Daily__Crying_Belgium_fan_square_1782135568.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/World_Cup_Daily__Crying_Belgium_fan_landscape_1782135570.png
Is Harry Kane the last of England's world-class st...,ESPN Soccer,"Mon, 22 Jun 2026 08:56:50 EST",https://www.espn.com/soccer/story/_/id/48376236/england-world-class-strikers-harry-kane-last-world-cup-gary-lineker-alan-shearer-michael-owen-wayne-rooney,71,70,70,70,80,ranking,England's Harry Kane faces scrutiny over his performance,Kane Under Fire,ইংল্যান্ডের বিশ্বসেরা,Kane Under Fire,HarryKane EnglandFootball PremierLeague FootballNews Sports Soccer Football EnglandNationalTeam,"A dark and dramatic abstract background with shades of deep blue and black, representing the intense pressure and scrutiny that Harry Kane is under, with subtle hints of a football stadium and a lone figure in the distance, symbolizing the isolation of a player under fire, with bold brushstrokes and vibrant textures that evoke a sense of energy and tension",/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Is_Harry_Kane_the_last_of_England_s_portrait_1782135572.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Is_Harry_Kane_the_last_of_England_s_square_1782135571.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Is_Harry_Kane_the_last_of_England_s_landscape_1782135573.png
England latest: Pick your XI to face Ghana...,Sky Sports Football,"Mon, 22 Jun 2026 13:00:00 BST",https://www.skysports.com/football/live-blog/11095/13427059/england-football-news-live-updates-schedule-and-analysis-of-thomas-tuchels-three-lions,71,70,70,70,80,announcement,England fans debate the team's lineup ahead of their World Cup match,England Lineup,বিশ্বকাপ ম্যাচের দল,England Lineup,England Ghana WorldCup Football Sports,"A stylized illustration of a football stadium at dusk, with abstract shapes and colors representing the energy of the crowd, and a subtle hint of the English and Ghanaian flags in the background, blending into a vibrant and dynamic atmosphere",/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/England_latest__Pick_your_XI_to_fac_portrait_1782135575.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/England_latest__Pick_your_XI_to_fac_square_1782135574.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/England_latest__Pick_your_XI_to_fac_landscape_1782135576.png
Lamine Yamal says ‘I’m here’: Spain star dazzles with World Cup goal - Al Jazeera,Google News FIFA 2026,"Mon, 22 Jun 2026 09:00:50 GMT",https://news.google.com/rss/articles/CBMimgFBVV95cUxQWS1vMXExekszWlhPWC00bXVaSTdQS0o3ZktGYUJlUk1JbVk0aUJ2NWxRcGtaS3BYRUZxOWM0aG1maEdfQXdkdW9JOGY3b1JiSzZvMlZQODc5WUplYlJlczRja1FEem9COXp4SjE5VjdaRGRHdlNpUEZRLU95aXVMRUlVSi1oTUJES3EyM3V6ZXUwNmJObTV2Yi130gGfAUFVX3lxTE14M1VpR0ZGZ004OXdqcXhNVHJqcERHNXhnWWxwUExsem5DR2FUcjhTQlpHc3pxdVZSdGhtY0xadm03TEVWT3BmdG02a0dYOUh4aXpHVW9MamM4WWhVODlYNkRRQ0stYXBXMVFMMEZqODlHUmNuQlowZklPNnMwVmdjMW5McUIzdmhvNU4ycmlHWmZtT3RMWllkczhWZlRVNA?oc=5,70,80,35,90,90,result,Lamine Yamal's World Cup goal for Spain,,Lamine Yamal says ‘I’m here’: Spain star dazzles with World Cup goal&nbsp;&nbsp;Al Jazeera,Lamine Yamal says ‘I’m here’: Spain star,,"result sports atmosphere, cinematic stadium lights, abstract energy, dark dramatic",/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Lamine_Yamal_says__I_m_here___Spain_portrait_1782135578.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Lamine_Yamal_says__I_m_here___Spain_square_1782135577.png,/home/mahir/Desktop/OFLO/News_Agent-main (Copy)/posters/Lamine_Yamal_says__I_m_here___Spain_landscape_1782135579.png
